Geo_Point;Geo_Shape;Ecole;Num;Libelle;Codpos;Tel
43.6163803437, 1.40909636921;{"type": "Point", "coordinates": [1.409096369208649, 43.61638034367448]};Sept Deniers;0108;RTE DE BLAGNAC;31200;05 61 57 02 61
43.6073474727, 1.47744246626;{"type": "Point", "coordinates": [1.477442466255027, 43.60734747267612]};Soupetard;0037;RUE DE LA SOLIDARITE;31500;05 61 80 70 18
43.5500698678, 1.38451301064;{"type": "Point", "coordinates": [1.38451301064092, 43.550069867803174]};Tibaous (Les);0005;RUE ALBERT CAROVIS;31100;05 34 57 10 12
43.6287586818, 1.43728979142;{"type": "Point", "coordinates": [1.437289791422852, 43.628758681808286]};Aubrac Lucie;0029;ROUTE DE LAUNAGUET;31200;05 61 13 99 38
43.6134536348, 1.4262564433;{"type": "Point", "coordinates": [1.426256443303931, 43.61345363482553]};Béarnais (Le);0003;PL INTER. ROLAND GARROS;31200;05 61 23 09 55
43.6164891748, 1.45379051292;{"type": "Point", "coordinates": [1.45379051292455, 43.61648917484446]};Bonnefoy;0008;RUE DU FAUBOURG BONNEFOY;31500;05 61 48 62 29
43.6411669506, 1.45493628007;{"type": "Point", "coordinates": [1.454936280073367, 43.641166950644745]};Borderouge Nord;0004;RUE ANTOINE PASTRE;31200;05 61 26 12 25
43.5782566161, 1.41357716607;{"type": "Point", "coordinates": [1.413577166068059, 43.5782566160683]};Dauriac Sylvain;0043;RUE PAUL LAMBERT;31100;05 61 40 27 62
43.6009505657, 1.40635897743;{"type": "Point", "coordinates": [1.406358977428974, 43.60095056567534]};De Gaulle-Anthonioz;0007;RUE MARIE DE GOURNAY;31300;05 34 64 64 66
43.6541649672, 1.43976165988;{"type": "Point", "coordinates": [1.439761659880327, 43.65416496720732]};De Gouges Olympe;0012;RUE VIRGINIA WOOLF;31200;05 61 47 87 14
43.607488275, 1.43032640215;{"type": "Point", "coordinates": [1.430326402150499, 43.60748827499276]};Falguière;0002B;RUE D ARTAGNAN;31000;05 61 21 15 09
43.601298256, 1.45083630122;{"type": "Point", "coordinates": [1.450836301217791, 43.601298255983004]};Fourtanier Alexandre;0010;RUE DU REMPART ST ETIENNE;31000;05 61 21 14 22
43.5859669675, 1.46303872536;{"type": "Point", "coordinates": [1.463038725356725, 43.58596696752518]};France Anatole;0006;AV DE LESPINET;31400;05 61 52 59 37
43.6496016453, 1.45323139066;{"type": "Point", "coordinates": [1.453231390657429, 43.64960164530406]};Grand Selve;0034;RUE FENELON;31200;05 61 47 85 54
43.5791775987, 1.40980438465;{"type": "Point", "coordinates": [1.40980438465363, 43.57917759869587]};Hyon Georges;0003;IMP DU BACHAGA BOUALAM;31100;05 61 40 27 42
43.5949594934, 1.47845305299;{"type": "Point", "coordinates": [1.478453052987075, 43.594959493360946]};Macé Jean;0009;CHE DE DUROUX;31500;05 61 40 23 10
43.611340242, 1.44778952651;{"type": "Point", "coordinates": [1.447789526505769, 43.61134024204545]};Matabiau;0040;RUE MATABIAU;31000;05 61 62 59 18
43.6094493832, 1.4426776346;{"type": "Point", "coordinates": [1.442677634597201, 43.60944938322458]};Merly;0005;RUE MERLY;31000;05 61 21 61 47
43.6040383805, 1.45503686803;{"type": "Point", "coordinates": [1.455036868030513, 43.604038380539826]};Michelet;0004;BD JULES MICHELET;31000;05 61 62 86 47
43.5932973345, 1.43157518785;{"type": "Point", "coordinates": [1.431575187849729, 43.5932973344772]};Molière;0032;RUE SAINTE LUCIE;31300;05 61 42 89 20
43.610023413, 1.4592787156;{"type": "Point", "coordinates": [1.459278715600725, 43.61002341301684]};Monge / Reille;0004B;RUE REILLE;31500;05 34 30 16 23
43.5823529036, 1.44138051135;{"type": "Point", "coordinates": [1.441380511346371, 43.58235290358432]};Moulin Jean;0001;RUE DE BIR HAKEIM;31400;05 61 52 31 67
43.5941314222, 1.42656833536;{"type": "Point", "coordinates": [1.426568335363302, 43.59413142221428]};Patte d'Oie;0087;RUE DE CUGNAUX;31300;05 61 42 09 55
43.5995067267, 1.45489281848;{"type": "Point", "coordinates": [1.454892818475462, 43.599506726746405]};Sarrat;0016;PL DOMINIQUE MARTIN DUPUY;31000;05 61 62 63 01
43.6071831577, 1.44210804385;{"type": "Point", "coordinates": [1.442108043851376, 43.60718315773917]};Sermet;0071;RUE DU TAUR;31000;05 61 21 88 22
43.5842569704, 1.39141073519;{"type": "Point", "coordinates": [1.391410735192332, 43.584256970414934]};Tillion G.;0002;RUE CESARIA EVORA;31100;05 62 85 24 25
43.5722219814, 1.39443463364;{"type": "Point", "coordinates": [1.394434633636751, 43.57222198136592]};Triolet Elsa;0004B;RUE EMILE PELLETIER;31100;05 61 44 34 94
43.5683364779, 1.40263656058;{"type": "Point", "coordinates": [1.402636560584191, 43.568336477949664]};Veil Simone;0005;CHEMIN ROBERT CAMBERT;31100;05 61 40 11 39
43.581286938, 1.39848724096;{"type": "Point", "coordinates": [1.398487240957552, 43.58128693804761]};Vergers (Les);0001B;IMP DES VERGERS;31100;05 61 44 97 80
43.5495001442, 1.45756047296;{"type": "Point", "coordinates": [1.457560472955479, 43.54950014420028]};Vernant;0004;CHE DES CLOTASSES;31400;05 61 33 01 26
43.6551306597, 1.43382064332;{"type": "Point", "coordinates": [1.433820643316127, 43.6551306597467]};Alphand;0005;IMP JEAN ALPHAND;31200;05 62 84 32 33
43.6095031263, 1.42051512742;{"type": "Point", "coordinates": [1.420515127424392, 43.609503126263284]};Amidonniers;0125;ALL DE BRIENNE;31000;05 61 21 98 33
43.5818680258, 1.42637434986;{"type": "Point", "coordinates": [1.426374349857565, 43.581868025751156]};Becanne Maurice;0003;IMP BOUTINON;31300;05 61 42 98 81
43.5891675071, 1.41923553737;{"type": "Point", "coordinates": [1.419235537374686, 43.58916750706013]};Billières Etienne;0257;RUE HENRI DESBALS;31100;05 61 42 85 37
43.6180906007, 1.39859876531;{"type": "Point", "coordinates": [1.398598765308029, 43.61809060067925]};Château d'Ancely;0002;ALL DU VIVARAIS;31300;05 61 49 23 82
43.6449287104, 1.4194707174;{"type": "Point", "coordinates": [1.419470717401909, 43.644928710381755]};Dieuzaide Jean;0014;CHE DE LA GLACIERE;31200;05 61 47 95 70
43.5970463556, 1.44300897322;{"type": "Point", "coordinates": [1.443008973222342, 43.597046355586144]};Fabre;0004;RUE SAINT JEAN;31000;05 61 52 08 75
43.5727701911, 1.40517022411;{"type": "Point", "coordinates": [1.405170224105179, 43.57277019107427]};Faucher Daniel;0012;CHEM ANDRE MESSAGER;31100;05 61 40 31 49
43.6012232829, 1.36978822169;{"type": "Point", "coordinates": [1.369788221688753, 43.60122328290297]};Fleurance;0010;PL RAYMOND GRIMAUD;31300;05 34 56 95 36
43.5764339812, 1.38987651774;{"type": "Point", "coordinates": [1.389876517736218, 43.576433981176685]};Hameau 47;0031;RUE ALEX COUTET;31100;05 61 41 00 10
43.5961996732, 1.43425396378;{"type": "Point", "coordinates": [1.434253963778716, 43.59619967318913]};Lamartine;0007;RUE DES FEUILLANTS;31300;05 61 42 94 59
43.5892132783, 1.37822073859;{"type": "Point", "coordinates": [1.378220738590798, 43.58921327831409]};Lardenne;0008;PL JACQUES SAUVEGRAIN;31100;05 61 49 27 46
43.6297724966, 1.44896887913;{"type": "Point", "coordinates": [1.44896887913242, 43.62977249663135]};Maourine (La);0011;AV M BOURGES MAUNOURY;31200;05 61 99 86 25
43.5743671592, 1.48396375196;{"type": "Point", "coordinates": [1.483963751959844, 43.574367159209444]};Montaudran;0002;IMP LUCIEN BOSSOUTROT;31400;05 61 20 23 09
43.6231992387, 1.43014795873;{"type": "Point", "coordinates": [1.430147958727595, 43.623199238737655]};Musset Alfred De;0005;RUE DU GENERAL HOCHE;31200;05 61 47 61 21
43.5453229198, 1.45354158481;{"type": "Point", "coordinates": [1.453541584814051, 43.545322919843144]};Pastel (Le);0002;CHE D ESCALLES;31400;05 62 88 02 55
43.5935918938, 1.44275016368;{"type": "Point", "coordinates": [1.442750163680119, 43.59359189377873]};Port Garaud;0001;RUE DU MOULIN DU CHATEAU;31000;05 61 52 57 70
43.5703815178, 1.41369615155;{"type": "Point", "coordinates": [1.413696151552271, 43.57038151776889]};Tabar;0006;RUE DE LA SARTHE;31100;05 61 40 89 50
43.5606718334, 1.39850804206;{"type": "Point", "coordinates": [1.398508042061512, 43.56067183339745]};Bastide Georges 1;0007;RUE DU RECTEUR DOTTIN;31100;05 61 40 25 90
43.5645137345, 1.41243615844;{"type": "Point", "coordinates": [1.412436158439447, 43.56451373449644]};Buffon;0008;IMP DES GLIERES;31100;05 61 40 26 56
43.5998136089, 1.46778863544;{"type": "Point", "coordinates": [1.467788635444503, 43.59981360890461]};Chaubet Jean;0004;PL VICTOR BASCH;31500;05 61 80 71 30
43.5820803245, 1.47601286536;{"type": "Point", "coordinates": [1.47601286536061, 43.58208032454524]};Courrège;0165;AV ANTOINE DE ST EXUPERY;31400;05 61 20 88 84
43.573569922, 1.4025486836;{"type": "Point", "coordinates": [1.402548683599243, 43.57356992198075]};Daurat Didier;0019;RUE JEAN GILLES;31100;05 61 40 35 28
43.579849068, 1.40844175726;{"type": "Point", "coordinates": [1.408441757264416, 43.57984906797153]};Falcucci Clément;0009;IMP DU BACHAGA BOUALAM;31100;05 61 40 26 21
43.6044590385, 1.40955547984;{"type": "Point", "coordinates": [1.409555479843399, 43.60445903853226]};Fontaine-Casselardit;0006;PL JEAN BAPTISTE BAUDIN;31300;05 61 49 37 82
43.607676256, 1.46814044174;{"type": "Point", "coordinates": [1.468140441735553, 43.60767625603761]};Gloire (La);0004;IMP DE SOUPETARD;31500;05 61 80 64 42
43.6139085369, 1.46859155995;{"type": "Point", "coordinates": [1.468591559945315, 43.61390853694546]};Jolimont;0016;AV HENRI GUILLAUMET;31500;05 61 48 82 46
43.5744903984, 1.4540053719;{"type": "Point", "coordinates": [1.454005371902211, 43.57449039837034]};Julien Jules;0004;AV DES ECOLES JULES JULIEN;31400;05 61 52 62 37
43.5771979237, 1.43839422628;{"type": "Point", "coordinates": [1.438394226284321, 43.57719792369696]};Lagrange Léo;0035;ALL HENRI SELLIER;31400;05 61 52 01 36
43.6297911541, 1.46754275397;{"type": "Point", "coordinates": [1.467542753965823, 43.62979115405017]};Michoun B;0004;RUE DE SAINT TROPEZ;31500;05 61 48 97 03
43.5755628055, 1.41372937535;{"type": "Point", "coordinates": [1.41372937535495, 43.575562805515574]};Papus;0048;ALL DE GUYENNE;31100;05 61 40 29 19
43.6147563618, 1.42155948646;{"type": "Point", "coordinates": [1.421559486464363, 43.61475636184297]};Ponts Jumeaux;0018;RUE CECILE BRUNSCHVICG;31200;05 31 22 91 01
43.6366822849, 1.44321837969;{"type": "Point", "coordinates": [1.44321837969332, 43.6366822849213]};Renan Ernest;0003;CHE D AUDIBERT;31200;05 61 47 90 01
43.5824500925, 1.44963971552;{"type": "Point", "coordinates": [1.449639715521173, 43.58245009253066]};Ricardie 1;0013;AV MARCEL LANGER;31400;05 61 52 68 63
43.583509215, 1.48561835886;{"type": "Point", "coordinates": [1.485618358856282, 43.58350921500983]};Terrasse (La);0009;IMP EUGENE TRUTAT;31500;05 61 20 21 07
43.5960944388, 1.40134842745;{"type": "Point", "coordinates": [1.401348427452019, 43.59609443883664]};Toec (Le);0016;RUE RENE CRABOS;31300;05 61 49 68 69
43.5813508848, 1.3919526159;{"type": "Point", "coordinates": [1.391952615900142, 43.58135088477206]};Viollet-le-Duc;0023;RUE EUGENE VIOLLET LE DUC;31100;05 61 40 97 97
43.6412035175, 1.44750856201;{"type": "Point", "coordinates": [1.447508562005443, 43.641203517533945]};Zay Jean;0007;RUE DES BOUQUETINS;31200;05 34 25 73 43
43.5895004267, 1.42737168843;{"type": "Point", "coordinates": [1.42737168843139, 43.58950042671636]};Benezet;0037;RUE BENEZET;31300;05 62 25 21 17
43.55966157, 1.37826629559;{"type": "Point", "coordinates": [1.378266295585851, 43.559661570014036]};Bert Paul;0004;CHE DE LIFFARD;31100;05 61 07 59 10
43.5774579393, 1.39552143136;{"type": "Point", "coordinates": [1.395521431364288, 43.57745793925809]};Bourliaguet Léonce;0073;RUE ARISTIDE MAILLOL;31100;05 61 41 00 85
43.5871251461, 1.44425260914;{"type": "Point", "coordinates": [1.444252609144499, 43.587125146123256]};Calas;0047;RUE ACHILLE VIADIEU;31400;05 61 52 08 86
43.5651417627, 1.39815620979;{"type": "Point", "coordinates": [1.398156209792043, 43.56514176270829]};Claudel Camille;0001;PL MARTIN LUTHER KING;31100;05 61 40 23 44
43.5672884139, 1.37213782382;{"type": "Point", "coordinates": [1.372137823819421, 43.567288413913666]};Guilhermy;0007;RUE DE LAS BRUGUES;31100;05 34 61 74 13
43.577254924, 1.4886498408;{"type": "Point", "coordinates": [1.488649840800708, 43.57725492397734]};Guillaumet Henri;0030;CHE DE BITET;31400;05 61 20 03 60
43.5652742472, 1.40319281796;{"type": "Point", "coordinates": [1.403192817960669, 43.56527424719933]};Hugo Victor;0006;IMP FRANCOIS FOULQUIER;31100;05 61 40 34 48
43.5756303192, 1.41807489037;{"type": "Point", "coordinates": [1.418074890369168, 43.575630319241476]};Jacquier Maurice;0007;RUE DU POITOU;31100;05 61 40 28 18
43.5885077841, 1.45207303233;{"type": "Point", "coordinates": [1.452073032333534, 43.588507784145094]};Jaurès Jean;0005B;RUE D AURIOL;31400;05 61 52 65 44
43.617275257, 1.47192200752;{"type": "Point", "coordinates": [1.471922007516219, 43.61727525698864]};Juncasse (La);0131;RUE LOUIS PLANA;31500;05 61 48 76 93
43.6017838784, 1.441604297;{"type": "Point", "coordinates": [1.441604297003899, 43.601783878399594]};Lakanal;0006;RUE DU PRIEURE;31000;05 61 21 28 00
43.5788100589, 1.38393880253;{"type": "Point", "coordinates": [1.383938802534314, 43.57881005885094]};Lesseps Ferdinand De;0007;RUE FERDINAND DE LESSEPS;31100;05 61 41 13 14
43.5965493915, 1.46439215516;{"type": "Point", "coordinates": [1.464392155162117, 43.596549391497064]};Leygue Armand;0009;CHE DU COIN DE LA MOURE;31500;05 61 80 85 44
43.6167807232, 1.46063279716;{"type": "Point", "coordinates": [1.460632797163303, 43.616780723178096]};Marengo-Périole;0009;RUE DU MARECHAL GALLIENI;31500;05 61 48 76 86
43.5820115585, 1.41493912378;{"type": "Point", "coordinates": [1.414939123781896, 43.58201155853265]};Michel Louise;0022B;RUE JULES AMILHAU;31100;05 61 40 23 10
43.6466703672, 1.43168805706;{"type": "Point", "coordinates": [1.431688057061358, 43.646670367213034]};Monnet Jean;0011;CHE DE L EGLISE DE LALANDE;31200;05 61 47 83 52
43.6212659831, 1.43848240867;{"type": "Point", "coordinates": [1.438482408667634, 43.621265983070664]};Negreneys;0015;RUE DES ANGES;31200;05 61 47 76 50
43.6400104183, 1.45020189353;{"type": "Point", "coordinates": [1.450201893526945, 43.64001041828066]};Niboul;0009;RUE ARRIA LY;31200;05 34 30 66 25
43.6123100856, 1.41553168646;{"type": "Point", "coordinates": [1.415531686455765, 43.61231008562453]};Petit Gragnague;0009;RUE DES SPORTS;31200;05 61 57 00 45
43.5748032641, 1.46433988455;{"type": "Point", "coordinates": [1.464339884550294, 43.57480326414942]};Rangueil;0014;RUE CLAUDE DE FORBIN;31400;05 61 52 52 04
43.5841543711, 1.40722303931;{"type": "Point", "coordinates": [1.40722303930972, 43.58415437105231]};Ronsard;0007;RUE VESTREPAIN;31100;05 34 61 23 67
