Geo_Point;Geo_Shape;Ecole;Num;Libelle;Codpos;Tel
43.6166626533, 1.40879377565;{"type": "Point", "coordinates": [1.408793775648325, 43.61666265325939]};Sept Deniers;0110;RTE DE BLAGNAC;31200;05 61 57 02 85
43.583899536, 1.48543644561;{"type": "Point", "coordinates": [1.485436445608533, 43.583899536018585]};Terrasse (La);0004;IMP EUGENE TRUTAT;31500;05 61 20 20 58
43.550311268, 1.38503534864;{"type": "Point", "coordinates": [1.385035348644497, 43.5503112679924]};Tibaous (Les);0007;RUE ALBERT CAROVIS;31100;05 34 57 98 33
43.5841812861, 1.39193094955;{"type": "Point", "coordinates": [1.391930949546611, 43.58418128607553]};Tillion G.;0003;RUE CESARIA EVORA;31100;05 62 85 24 25
43.581286938, 1.39848724096;{"type": "Point", "coordinates": [1.398487240957552, 43.58128693804761]};Vergers (Les);0001B;IMP DES VERGERS;31100;05 61 44 97 50
43.6551306597, 1.43382064332;{"type": "Point", "coordinates": [1.433820643316127, 43.6551306597467]};Alphand;0005;IMP JEAN ALPHAND;31200;05 62 84 32 30
43.5601449328, 1.39829122807;{"type": "Point", "coordinates": [1.398291228069428, 43.56014493279263]};Bastide Georges;0008;RUE DU RECTEUR DOTTIN;31100;05 61 40 24 33
43.6169354423, 1.45429765427;{"type": "Point", "coordinates": [1.454297654272088, 43.616935442269394]};Bonnefoy;0018;RUE DU FAUBOURG BONNEFOY;31500;05 61 48 77 28
43.5980220617, 1.45498958314;{"type": "Point", "coordinates": [1.454989583143658, 43.59802206170553]};Calvinhac;0008B;RUE JACQUES LABATUT;31000;05 61 62 88 82
43.6185244306, 1.39831651093;{"type": "Point", "coordinates": [1.398316510930149, 43.6185244306]};Château d'Ancely;0004;ALL DU VIVARAIS;31300;05 61 49 25 86
43.6005993776, 1.46741984219;{"type": "Point", "coordinates": [1.467419842185567, 43.60059937764177]};Chaubet Jean;0112;AV CAMILLE PUJOL;31500;05 61 80 68 55
43.6206451737, 1.44336900436;{"type": "Point", "coordinates": [1.443369004363048, 43.62064517374646]};Curie Marie & Pierre;0003;RUE BAPTISTE MARCET;31200;05 61 13 01 33
43.6541649672, 1.43976165988;{"type": "Point", "coordinates": [1.439761659880327, 43.65416496720732]};De Gouges Olympe;0012;RUE VIRGINIA WOOLF;31200;05 61 47 87 14
43.5892691935, 1.4458301011;{"type": "Point", "coordinates": [1.445830101095445, 43.5892691934683]};Dupont Pierre;0101;GRANDE-RUE SAINT MICHEL;31400;05 61 52 47 05
43.580974527, 1.38081848788;{"type": "Point", "coordinates": [1.380818487878018, 43.58097452699934]};Dupouy Gaston;0008;RUE DU PR GASTON DUPOUY;31100;05 61 44 81 83
43.5960826684, 1.44366126444;{"type": "Point", "coordinates": [1.443661264435999, 43.596082668384]};Fabre;0009;RUE SAINT REMESY;31000;05 61 52 57 59
43.5793413892, 1.40918235994;{"type": "Point", "coordinates": [1.409182359937412, 43.57934138917171]};Falcucci Clément;0005;IMP DU BACHAGA BOUALAM;31100;05 61 40 27 92
43.572793067, 1.40536245996;{"type": "Point", "coordinates": [1.405362459964017, 43.572793066954304]};Faucher Daniel 1;0005;CHEM ANDRE MESSAGER;31100;05 61 40 36 32
43.6007784764, 1.41690978507;{"type": "Point", "coordinates": [1.416909785067928, 43.60077847639814]};Fontaine Bayonne;0014;RUE DUFAUR DE PIBRAC;31300;05 61 49 38 81
43.5740226515, 1.45377673224;{"type": "Point", "coordinates": [1.453776732238893, 43.57402265152492]};Julien Jules;0011;AV DES ECOLES JULES JULIEN;31400;05 61 52 45 88
43.6482236279, 1.43289710761;{"type": "Point", "coordinates": [1.432897107605941, 43.648223627853525]};Lalande;0239;AV DE FRONTON;31200;05 61 47 51 43
43.579004939, 1.3852299903;{"type": "Point", "coordinates": [1.385229990299006, 43.57900493903571]};Lesseps Ferdinand De;0031;CHE DES PRADETTES;31100;05 61 40 57 83
43.6299999528, 1.44919212109;{"type": "Point", "coordinates": [1.449192121089313, 43.62999995280051]};Maourine (La);0013;AV M BOURGES MAUNOURY;31100;05 61 99 94 10
43.5747617063, 1.42426636691;{"type": "Point", "coordinates": [1.424266366911454, 43.57476170630523]};Oustalous (Les);0065;RTE D ESPAGNE;31100;05 61 44 92 81
43.636649575, 1.44153123894;{"type": "Point", "coordinates": [1.441531238937068, 43.63664957503601]};Renan Ernest;0007;CHE D AUDIBERT;31200;05 61 47 82 11
43.5843235692, 1.40754969768;{"type": "Point", "coordinates": [1.407549697681539, 43.584323569170465]};Ronsard;0007B;RUE VESTREPAIN;31100;05 61 40 33 23
43.6073474727, 1.47744246626;{"type": "Point", "coordinates": [1.477442466255027, 43.60734747267612]};Soupetard;0037;RUE DE LA SOLIDARITE;31500;05 61 80 88 78
43.5683051963, 1.4026698619;{"type": "Point", "coordinates": [1.402669861901559, 43.56830519632959]};Veil Simone;0004;CHEMIN ROBERT CAMBERT;31100;05 61 40 40 61
43.5504187804, 1.45773689461;{"type": "Point", "coordinates": [1.457736894607802, 43.55041878038355]};Vernant;0001;RUE RENE GOSCINNY;31400;05 61 21 58 77
43.5895004267, 1.42737168843;{"type": "Point", "coordinates": [1.42737168843139, 43.58950042671636]};Benezet;0037;RUE BENEZET;31300;05 62 25 21 15
43.5774579393, 1.39552143136;{"type": "Point", "coordinates": [1.395521431364288, 43.57745793925809]};Bourliaguet Léonce;0073;RUE ARISTIDE MAILLOL;31100;05 61 41 00 33
43.5647159207, 1.41188004852;{"type": "Point", "coordinates": [1.411880048515233, 43.564715920712054]};Buffon;0006;IMP DES GLIERES;31100;05 61 40 27 75
43.6366382468, 1.46390959208;{"type": "Point", "coordinates": [1.463909592077814, 43.63663824680831]};Cuvier;0135;RTE D ALBI;31200;05 61 48 96 36
43.601298256, 1.45083630122;{"type": "Point", "coordinates": [1.450836301217791, 43.601298255983004]};Fourtanier Alexandre;0010;RUE DU REMPART ST ETIENNE;31000;05 61 21 14 22
43.5848225011, 1.46179814274;{"type": "Point", "coordinates": [1.461798142743459, 43.58482250110246]};France Anatole;0021;BD DE LA MEDITERRANEE;31400;05 61 25 05 08
43.5981790089, 1.41650585616;{"type": "Point", "coordinates": [1.416505856159624, 43.59817900885293]};Godolin Peire;0015;RUE VINCENT SCOTTO;31300;05 61 49 15 29
43.6495584115, 1.45327010727;{"type": "Point", "coordinates": [1.453270107268046, 43.6495584114744]};Grand Selve;0034;RUE FENELON;31200;05 61 47 56 38
43.5672685238, 1.37218288356;{"type": "Point", "coordinates": [1.372182883557209, 43.56726852380767]};Guilhermy;0007;RUE DE LAS BRUGUES;31100;05 34 61 72 33
43.5793273183, 1.41035322378;{"type": "Point", "coordinates": [1.410353223781883, 43.57932731827331]};Hyon Georges;0001;IMP DU BACHAGA BOUALAM;31100;05 61 40 23 51
43.6020721879, 1.43894207827;{"type": "Point", "coordinates": [1.438942078267225, 43.602072187903566]};Lakanal;0017;PL DE LA DAURADE;31000;05 61 21 43 39
43.6108304891, 1.44156905269;{"type": "Point", "coordinates": [1.441569052685197, 43.61083048908418]};Nord;0013;BD D ARCOLE;31000;05 61 21 46 71
43.5757102314, 1.41324494899;{"type": "Point", "coordinates": [1.413244948991502, 43.575710231403846]};Papus;0046;ALL DE GUYENNE;31100;05 61 40 27 84
43.6151656125, 1.42237547924;{"type": "Point", "coordinates": [1.422375479238089, 43.615165612522794]};Ponts Jumeaux;0050;RUE DAYDE;31200;05 31 22 91 01
43.6412020822, 1.4469040925;{"type": "Point", "coordinates": [1.446904092502093, 43.641202082246565]};Zay Jean;0005;RUE DES BOUQUETINS;31200;05 34 25 11 94
43.6297136984, 1.4338648867;{"type": "Point", "coordinates": [1.433864886699995, 43.62971369836873]};Aubrac Lucie;0038;AV DE FRONTON;31200;05 61 13 99 38
43.5829534278, 1.42639752436;{"type": "Point", "coordinates": [1.426397524362571, 43.5829534278257]};Becanne Maurice;0085;AV DE MURET;31300;05 61 42 92 92
43.6073151353, 1.43020794228;{"type": "Point", "coordinates": [1.43020794227693, 43.60731513533921]};Falguière;0002;RUE D ARTAGNAN;31000;05 61 21 37 46
43.5988736052, 1.3706853656;{"type": "Point", "coordinates": [1.370685365596914, 43.59887360520539]};Fleurance;135;CHE DE TOURNEFEUILLE;31300;05 34 60 54 03
43.5727731097, 1.40621512883;{"type": "Point", "coordinates": [1.406215128831116, 43.572773109703554]};Héritier Françoise;0003;CHEM ANDRE MESSAGER;31100;05 61 40 13 44
43.577278842, 1.43696798489;{"type": "Point", "coordinates": [1.436967984888585, 43.577278841988054]};Lagrange Léo;0039;ALL HENRI SELLIER;31400;05 61 52 21 13
43.5968455708, 1.46347721648;{"type": "Point", "coordinates": [1.463477216481109, 43.59684557077664]};Leygue Armand;0020;RUE LUCIEN CASSAGNE;31500;05 61 80 03 36
43.6081460974, 1.37756812297;{"type": "Point", "coordinates": [1.377568122965672, 43.60814609738494]};Littre;0002;PL BERTIER;31300;05 61 49 23 53
43.5957845318, 1.47826872086;{"type": "Point", "coordinates": [1.478268720861687, 43.59578453184163]};Macé Jean;0003;CHE DE DUROUX;31500;05 61 20 26 58
43.6175548137, 1.45967535031;{"type": "Point", "coordinates": [1.459675350314593, 43.617554813658856]};Marengo-Périole;0098;RUE DE PERIOLE;31500;05 61 48 70 39
43.5934311864, 1.43086240426;{"type": "Point", "coordinates": [1.430862404257669, 43.59343118635498]};Molière;0036;RUE SAINTE LUCIE;31300;05 61 42 99 65
43.6088373496, 1.45774144681;{"type": "Point", "coordinates": [1.457741446814957, 43.608837349602375]};Monge;0012;RUE SOULT;31500;05 61 48 91 43
43.5739864666, 1.48460812826;{"type": "Point", "coordinates": [1.484608128260365, 43.57398646658235]};Montaudran;0001;IMP GASTON GENIN;31400;05 61 20 94 02
43.6205528133, 1.4342826722;{"type": "Point", "coordinates": [1.434282672198267, 43.62055281327763]};Nougaro;0059;RUE DU GENERAL BOURBAKI;31200;05 61 22 85 63
43.5748831508, 1.46414742205;{"type": "Point", "coordinates": [1.464147422048696, 43.57488315078198]};Rangueil;0016;RUE CLAUDE DE FORBIN;31400;05 61 52 35 07
43.5809321501, 1.44941300656;{"type": "Point", "coordinates": [1.449413006557581, 43.580932150143674]};Ricardie 2-3;0056;AV DE L URSS;31400;05 61 52 31 47
43.6071831577, 1.44210804385;{"type": "Point", "coordinates": [1.442108043851376, 43.60718315773917]};Sermet;0071;RUE DU TAUR;31000;05 61 23 00 35
